0.36 58.72 5.87 simbad
0.44 66.67 6.67 simbad
0.55 55.16 5.52 simbad
0.64 43.7 4.37 simbad
0.79 35.71 3.57 simbad
1.26 15.85 4.84 simbad
1.6 11.53 0.43 simbad
2.22 7.98 0.36 simbad
